Biology Factoid Questions|||||
Question|Focus|Mod|Coarse Class|Fine Class|Answer
Bitkilerin beslenmesinde bazı elementlerin gerekli olduğunu belirtmek amacıyla Liebig (Libig) tarafından ilk kez 1840 yılında ortaya atılan yasa nedir?|yasa||DESCRIPTION|THEOREM|minimum yasası  
Bitkilerin bir cisimle temas ettiğinde verdiği tepkiye ne ad verilir?|tepkiye||ENTITY|PROCESS.PLANT|Tigmotropizma
Bitkilerin büyüme bölgelerinde bulunan ve sürekli bölünebilme (canlı oldukları sürece mitozla bölünebilme) yeteneğine sahip hücrelerden oluşan bitkisel doku nedir?|doku|bitkisel|ENTITY|ENTITY|meristem doku  
Bitkilerin çevreden gelen uyaranın yönüne bağlı olarak gerçekleştiği tepkiye ne ad verilmektedir?|tepkiye||ENTITY|PROCESS.PLANT|tropizma
Bitkilerin çevreden gelen uyaranın yönüne bağlı olmaksızın gerçekleştirdikleri harekete ne denir?|harekete||ENTITY|PROCESS.PLANT|nasti  
Bitkilerin çok az gereksinim duyduğu klor, demir, bor, mangan, sodyum, çinko, bakır, nikel, molibden gibi besin tuzlarını oluşturan elementlere ne ad verilmektedir?|elementlere||ENTITY|ELEMENT|mikro element  
Bitkilerin dokunmaya karşı gösterdiği tepkilere ne ad verilmektedir?|tepkilere||ENTITY|PROCESS.PLANT|haptotropizma
Bitkilerin en fazla ihtiyaç duyduğu makro element nedir?|element|makro|ENTITY|ELEMENT|azot
Bitkilerin fazla miktarda ihtiyaç duyduğu azot, potasyum, karbon, kalsiyum, hidrojen, magnezyum, fosfor, kükürt, silisyum gibi besin tuzlarını oluşturan elementlere ne ad verilmektedir?|elementlere||ENTITY|ELEMENT|makro element  
Bitkilerin gelişmesinde rol oynayan oksin, giberelin vb. hormonların bitkideki dağılımını etkileyen, bitkinin kökünün toprak içine doğru; gövdesinin ise aksi yönde büyümesini sağlayan çevresel faktör nedir?|faktör|çevresel|ENTITY|ENTITY|yer çekimi  
Bitkilerin hücrelerden oluştuğu ilk ne zaman belirtilmiştir?|zaman belirtilmiştir||TEMPORAL|DATE|1839
Bitkilerin hücrelerden oluştuğunu ilk kim belirtmiştir?|belirtmiştir||HUMAN|INDIVIDUAL|Matthias Schleiden
Bitkilerin ışık uyaranına karşı gösterdiği yönelme hareketine ne ad verilmektedir?|yönelme hareketine||ENTITY|PROCESS.PLANT|fototropizma
Bitkilerin köklerinde topraktan su ve suda çözünmüş minerallerin alınmasını sağlayan yapıya ne ad verilir?|yapıya||ENTITY|SECTION.PLANT|emici tüyler  
Bitkilerin oksijen vererek havayı temizlediği hipotezi hangi yıl ortaya atılmıştır?|yıl||TEMPORAL|DATE|1771
Bitkilerin oksijen vererek havayı temizlediği hipotezini ortaya atan kimdir?|ortaya atan||HUMAN|INDIVIDUAL|Joseph Priestley
Bitkilerin sentezledikleri organik besinleri ve suyu hangi yapı taşır?|yapı||ENTITY|PLANT.STRUCTURE|Damarlar
Bitkilerin tarihi adlı eser hangi yıl yazılmıştır?|yıl||TEMPORAL|DATE|1686
Bitkilerin tarihi adlı eser kime aittir?|eser aittir||HUMAN|INDIVIDUAL|John Ray
Bitkilerin tarihi eserini kim yazmıştır?|yazmıştır||HUMAN|INDIVIDUAL|John Ray
Bitkilerin toprak altı organ sistemine ne ad verilmektedir?|organ sistemine|toprak altı|ENTITY|SECTION.PLANT|kök sistemi   
Bitkilerin toprak üstü organ sistemine ne ad verilmektedir?|organ sistemine|toprak üstü|ENTITY|SECTION.PLANT|sürgün sistemi 
Bitkilerin yer çekimine karşı gösterdiği yönelim hareketine ne ad verilmektedir?|yönelim hareketine||ENTITY|PROCESS.PLANT|geotropizma
Bitkinin her organında bulunan, temel yapısını oluşturan ve bitkilerin çevre koşullarına uyumunu sağlamak için her türlü değişime uğrayabilen temel doku hücresi nedir?|doku hücresi|temel|ENTIRY|CELL.TYPE|parankima hücreleri
Bitkinin ışığın geldiği yöne doğru yönelmesi neye örnektir?|yönelmesi örnektir||ENTITY|PROCESS.PLANT|Fototropizma
Bitkinin özellikle genç gövdelerinde, yaprağın orta damarında, çiçek ve yaprak saplarında bulunan; eğilme, bükülme ve çarpmaya karşı bitkiye mekanik destek sağlayan, çeperi kalınlaşmış hücrelerden oluşan temel doku hücresi nedir?|doku hücresi|temel|ENTIRY|CELL.TYPE|kollenkima hücreleri  
Bitkinin toprağa bağlanmasını, su ve minerallerin alınmasını, besin maddelerin depolanmasını, hormonların ve bazı kimyasal bileşiklerin sentezlenmesi, gövdenin desteklenmesi ve oksijen alınmasını sağlayan organı nedir?|organı||ENTITY|SECTION.PLANT|kök
Bitkinin toprağın altında kalan kısmına ne denir?|kısmına||ENTITY|PLANT.STRUCTURE|Kök
Biyoloji alanında canlıları belirli bir düzene sokmaya çalışan ve bu amaca yönelik ilkeler geliştiren bilim dalına ne denir?|bilim dalına||DESCRIPTION|DEFINITION|Taksonomi
Biyolojinin alt bilim dallarından hangisi canlıları benzerlik ve akrabalık derecelerine göre sınıflandırır?|bilim dallarından|alt|DESCRIPTION|DEFINITION|Taksonomi
Biyosferin diğer ismi nedir?|ismi|diğer|DESCRIPTION|DEFINITION|Küresel ekosistem
Biyosferin en büyük bölümünü kaplayan biyom çeşidi nedir?|biyom çeşidi||DESCRIPTION|DESCRIPTION|sucul biyomlar  
Blastositin rahim duvarına tutunması olayına ne denir?|olayına||DESCRIPTION|DEFINITION|Döl tutma
Blastula evresinden sonra hücrelerin ortasında meydana gelen çökme ile hangi evre başlar?|evre||ENTITY|PHASE|Gastrula
B-lenfositlerinin humoral bağışıklık oluşumunda ürettikleri antikorlara ne ad verilir?|antikorlara||ENTIRY|CELL.TYPE|immünoglobulin(Ig)  
Böbreğin yapı ve görev birimi olan, süzme birimi olarak da adlandırılan yapıya ne ad verilir?|yapıya||ENTITY|ANIMAL.STRUCTURE|nefron
Böbreklerde sodyumun emilimini sağlayan ve eş zamanlı olarak potasyum atılımını uyaran hormon nedir?|hormon||ENTITY|SYNTHESIZED.HORMONE|aldosteron
Böbreklerde suyun geri emilimini sağlayan hormon nedir?|hormon||ENTITY|SYNTHESIZED.HORMONE|ADH antidiüretik hormon  
Böcek, sürüngen, kuş gibi organizmalarda azotlu boşaltım ürünü nedir?|Böcek||ENTITY|SUBSTANCE|ürik asit  
Böcekçil bitkinin yapraklarının böceğin yaprağa dokunmasıyla bir kapan şeklinde kapanmasını sağlayan hareket hangi nasti hareketine örnektir?|nasti hareketine||ENTITY|PROCESS.PLANT|sismonasti 
Bölgesel enerji ve madde alışverişlerinin organizmaları nasıl etkilediğini inceleyen bilim dalı hangisidir?|bilim dalı||DESCRIPTION|DEFINITION|Küresel ekoloji
Bölünmeler esnasında hücre sayısının geometrik artışına ne denir?|artışına|geometrik|DESCRIPTION|DEFINITION|Büyüme
Boşaltımı gerçekleştiren organ ve yapıların tümüne ne ad verilir?|organ ve yapıların tümüne||ENTITY|ANIMAL.SYSTEM|üriner sistem  
Bowman kapsülü ve glomerulusun oluşturduğu yapıya ne ad verilir?|yapıya||ENTITY|PROPER NOUN|malpighi cisimciği 
Bowman kapsülünün içini dolduran kılcal damarlardan oluşmuş atardamar yumağına ne ad verilir?|atardamar yumağına||ENTITY|ANIMAL.STRUCTURE|glomerulus
Boy ve genişliği birbirine yaklaşık olarak eşit olan kemiklere ne ad verilir?|kemiklere||DESCRIPTION|DEFINITION|kısa kemikler 
Boyun, göğüs ve bel omurlarının arasındaki eklemler, hangi eklem türüne örnektir?|eklem türüne||DESCRIPTION|DEFINITION|az oynar eklem  
Bugün geçerli olmayan, canlılarda ilk sınıflandırmayı hangi bilim adamı yapmıştır?|bilim adamı||HUMAN|INDIVIDUAL|Aristo
Bütün hücrelerin daha önceden varolan hücrelerden meydana geldiğini kim ortaya atmıştır?|ortaya atmıştır||HUMAN|INDIVIDUAL|Rudolph Wirchow
Büyük molekülleri daha küçük moleküllere yıkmak için gerçekleşen reaksiyonlara ne denir?|reaksiyonlara||ENTITY|PROCESS.ANIMAL|Katabolizma
Büyük moleküllerin hücre dışına atılması hangi yolla gerçekleşir?|yolla||ENTITY|PROCESS.ANIMAL|Ekzositoz
Büyük moleküllü besinlerin hidrolizle monomerlerine ayrışması görevini yerine getiren sindirim türü nedir?|sindirim türü||ENTITY|PROCESS.ANIMAL|kimyasal sindirim  
Büyük yağ damlalarını ince bağırsakta mekanik olarak sindirip çok küçük damlacıklara ayıran salgının adı nedir?|salgının adı||ENTITY|SYNTHESIZED|safra
Büyümeyle birlikte hücrelerin özelleşip farklı nitelikler kazanmasına ne denir?|nitelikler kazanmasına|farklı|DESCRIPTION|DEFINITION|Farklılaşma
Çam bitkisinde tohumları taşıyan yapıya ne denir?|yapıya||ENTITY|PLANT.STRUCTURE|Kozalak
Çanak ve taç yapraklardan sonra gelen, başçık ve sapçık şeklinde iki bölümden oluşan çiçek organına ne ad verilir?|çiçek organına||ENTITY|SECTION.PLANT|erkek organ  
Canlı bitki kökleri ile mantar hiflerinin, topraktan su ve minerallerin emilmesi amacıyla aralarında oluşturdukları mutualist birliğe ne ad verilmektedir?|mutualist birliğine||DESCRIPTION|DEFINITION|mikoriza
Canlılar ve çevre arasındaki enerji akışı ve kimyasal döngüyü inceleyen bilim dalı nedir?|bilim dalı||DESCRIPTION|DEFINITION|Ekosistem ekolojisi
Canlılarda eşeyi belirleyen genlere ne ad verilir?|genlere||DESCRIPTION|DEFINITION|gonozom(eşey kromozomu)  
Canlılarda ilk sınıflandırma kaç yılında yapılmıştır?|yılında yapılmıştır||TEMPORAL|DATE|MÖ350
Canlılarda ilk sınıflandırmayı kim yapmıştır?|sınıflandırmayı yapmıştır||HUMAN|INDIVIDUAL|Aristo
Canlılardaki gaz alış verişinin denetimi, hangi yapılar tarafından gerçekleştirilir?|yapılar||ENTITY|ANIMAL.STRUCTURE|omurilik soğanı ve beyindeki solunum merkezi  
Canlıların aldığı besin ve oksijenin dokulara, dokularda oluşan karbon dioksit ve diğer metabolizma artıklarının da boşaltım organlarına taşınması olayına ne ad verilir?|olayına||ENTITY|ANIMAL.SYSTEM|dolaşım sistemi  
Canlıların bulundukları çevrede yaşamasını sağlayan kalıtsal, yapısal veya davranışsal değişikliklere ne denir?|değişikliklere|kaltsal, yapısal veya davranışsal|ENTITY|PROCESS.ANIMAL|Uyum
Canlıların dış görünüşlerine, görev benzerliklerine ve yaşadıkları yere göre yapılan sınıflandırmaya ne denir?|sınıflandırmaya||DESCRIPTION|DEFINITION|Yapay sınıflandırma
Canlıların dış görünüşünü, biyolojinin hangi alt bilim dalı inceler?|bilim dalı|alt|DESCRIPTION|DEFINITION|Morfoloji
Canlıların hücrelerinde meydana gelen sindirim, solunum ve boşaltım gibi yaşamsal reaksiyonların tümüne ne denir?|reaksiyonların tümüne|yaşamsal|ENTITY|PROCESS.ANIMAL|Metabolizma
Canlıların hücresel solunumda kullanılan oksijeni hücre içine alarak ve oluşan karbon dioksidi hücreden uzaklaştırmak amacıyla bulundukları ortamla gaz alış verişi yapması olayına ne denir?|olayına||ENTITY|PROCESS.ANIMAL|solunum
Canlıların kalıtsal özelliklerinin değiştirilerek onlara yeni işlevler kazandırılmasına yönelik araştırmalar yapan bilim dalı nedir?|bilim dalı||DESCRIPTION|DEFINITION|gen mühendisliği  
Canlıların kendi yapısından ve yaşadığı ortamdan kaynaklanan fiziksel ve kimyasal uyaranlara tepki göstermesine ne denir?|tepki göstermesine||ENTITY|PROCESS.ANIMAL|Uyarılma
Canlıların kendisine benzer yeni canlılar oluşturmasına ne denir?|oluşturmasına||ENTITY|PROCESS.ANIMAL|Üreme
Canlıların vücutlarındaki fazla suyu, suda çözünmüş halde bulunan zararlı maddeleri ve gereğinden fazla olan metabolik ürünleri, hücrelerden ve doku sıvısından uzaklaştırmasına olayına ne denir?|olayına||ENTITY|PROCESS.ANIMAL|boşaltım
Canlıların yapısını moleküler düzeyde inceleyen bilim dalı nedir?|bilim dalı||DESCRIPTION|DEFINITION|Moleküler biyoloji
Canlıların yaşamları boyunca geçirdikleri değişimlerin tümüne ne denir?|değişimlerin tümüne||ENTITY|PROCESS.ANIMAL|Gelişme
Canlının boy uzunluğu, vücut şekli, metabolizma hızı gibi bütün özellikleri nerede bulunur?|bulunur||LOCATION|LOCATION|Nükleik asitlerde
canlının enerji ihtiyacını karşılayabilmek için gerekli olan maddelerin, canlı dışı ortamlardan temin edilmesi faaliyetine ne denir?|faaliyetine||ENTITY|PROCESS.ANIMAL|Beslenme
Canlının sahip olduğu genlerin tümüne ne denir?|genlerin tümüne||DESCRIPTION|DEFINITION|genotip
Canlının vücudundan kopan bir parçanın, kendisini yenileyerek ayrı bir birey meydana getirmesi olayına ne denir?|olayına||ENTITY|PROCESS.ANIMAL|Rejenerasyon
Carolus Linneaus sistematiğin temelini hangi yılda atmıştır?|yılda||TEMPORAL|DATE|1735
Çekirdeğin, çekirdek plazması ile hücre sitoplazmasını birbirinden ayıran bölümünün adı nedir?|bölümünün adı||ENTITY|ORGANELLE|Çekirdek zarı
Çekirdek zarının erimesi mayozun hangi evresinde görülür?|evresinde||ENTITY|PHASE|Profaz I
Çekirdekçiklerin tekrar oluştuğu mitoz bölünme aşaması hangisidir?|bölünme aşaması|mitoz|ENTITY|PHASE|Telofaz
Çene yapısı kuvvetli, kesici dişler uzun ve sivri, köpek dişleri gelişmiş, azı dişleri ise ezip parçalamaya uygun şekilde farklılaşan memeliler hangi takıma aittir?|takıma||ENTITY|ANIMAL|Karnivor(etçil) memeliler  
Çevre biliminin diğer adı nedir?|adı|diğer|ABBREVIATION|EXPRESSION|Ekoloji
Çiçeğin dişi organında bulunan, dişicik borusunun üstünde yer alan, polenlerin tutunduğu ve çimlendiği nemli, yapışkan kısmına ne ad verilir?|kısmına|nemli yapışkan|ENTITY|SECTION.PLANT|tepecik 
Çiçeğin dişi organında bulunan, yumurtalığın tepeciğe kadar uzanan boyun kısmına ne ad verilir?|boyun kısmına||ENTITY|SECTION.PLANT|dişicik borusu  
Çiçeğin dışında bulunup çoğunlukla yeşil renkte olan ve tomurcuk halindeyken iç kısımdaki organları korumakla görevli olan çiçek bölümüne ne ad verilir?|çiçek bölümüne||ENTITY|SECTION.PLANT|çanak yaprak  
Çiçek aşısını kim keşfetmiştir?|keşfetmiştir||HUMAN|INDIVIDUAL|Edward Jenner
Çiçeklerde polenlerin oluştuğu kısım nedir?|kısım||ENTITY|SECTION.PLANT|başçık
Çiçeklerin ortamdaki ışık şiddetine bağlı olarak açılıp kapanmasına ne ad verilmektedir?|açılıp kapanmasına||ENTITY|PROCESS.PLANT|fotonasti
Çiçekli bitkilerde döllenmeden hemen sonra hangi olay gerçekleşir?|olay||ENTITY|PROCESS.ANIMAL|Zigot oluşumu
Çiçekli bitkilerde embriyoyu çimlenme gerçekleşene kadar besleyen yapı hangisidir?|yapı||ENTITY|ANIMAL.STRUCTURE|Endosperm
Çiçekli bitkilerde üreme olayında, tozlaşmadan önce hangi olay gerçekleşir?|olay||ENTITY|PROCESS.PLANT|Tohum taslağının oluşumu
Çift zincirli yapıda olan DNA’nın Adenin (A) nükleotidinin karşısına gelen nükleotid nedir?|nükleotid||ENTIRY|CELL.TYPE|Timin 
Çift zincirli yapıda olan DNA’nın Guanin (G) nükleotidinin karşısına gelen nükleotid nedir?|nükleotid||ENTIRY|CELL.TYPE|Sitozin
Çimlenme için gerekli olan, çimlenme sırasında tohum kabuğu çatlayınca embriyoda metabolizma hızı arttığı için ihtiyaç duyulan çevresel faktör nedir?|faktör|çevresel|ENTITY|ENTITY|oksijen
Çimlenmede gerekli olan metabolik aktivitelerin başlaması için enzimleri aktifleştiren, hücrelerin genişlemesine ve büyümesine sebep olan çevresel faktör nedir?|faktör|çevresel|ENTITY|ENTITY|su
Çimlenmede su emilimini, enzim etkinliğini ve difüzyonu etkileyen çevresel faktör nedir?|faktör|çevresel|ENTITY|ENTITY|sıcaklık
Çimlenmekte olan bir tohumda, fotosentez yapana kadar geçen süreçte ne gerçekleşmez?|gerçekleşmez||ENTITY|PROCESS.PLANT|besin depolama  
Çizgili kas hücreleri, sitoplazmalarında demir içeren hangi pigmenti taşıdığından dolayı kırmızı renkte görünür?|pigmenti||ENTIRY|CELL.TYPE|miyoglobin 
Çizgili kaslara göre yavaş, düzenli ve uzun süreli çalışan kas türü hangisidir?|kas türü||ENTITY|MUSCLE.TYPE|düz kas  
Çizgili kasların yapısı hangi iplikler modeli ile açıklanır?|iplikler modeli||ENTITY|PROPER NOUN|Huxley’in kayan iplikler modeli  
Çocuklarda görülen, D vitamini eksikliğinde kemiklerde yumuşama ve eğilme meydana gelmesi ile sonuçlanan kemik hastalığına ne ad verilir?|kemik hastalığına||ENTITY|DISEASE|raşitizm
Coğrafik yayılışı büyük ölçüde iklimdeki bölgesel değişikliklere dayanan, orman, çöl ve çayır biyomları olarak gruplara ayrılan biyom çeşidi nedir?|biyom çeşidi||DESCRIPTION|DESCRIPTION|karasal biyom  
Çoğunluğunun uçma yeteneğine sahip olduğu omurgalı canlı grubuna ne denir?|canlı grubuna|omurgalı|ENTITY|ANIMAL|Kuşlar
Çok yıllık bitkilerde kök ve gövdedeki kalınlaşma nedeniyle parçalanan ve bitkiyi koruyamaz hale gelen epidermisin yerine, bitkiyi koruması için hangi örtü doku oluşmaktadır?|örtü doku||ENTITY|ENTITY|peridermis 
Çözelti halindeki maddeler hücre içine hangi yolla alınırlar?|yolla||ENTITY|PROCESS.ANIMAL|Pinositoz
Çözündüklerinde suya hidrojen iyonu veren maddelere ne denir?|maddelere||DESCRIPTION|DEFINITION|Asit
Çözündüklerinde suya hidroksit iyonu veren maddelere ne denir?|maddelere||DESCRIPTION|DEFINITION|Baz
Cross-over olayı mayozun hangi evresinde gerçekleşir?|evresinde||ENTITY|PHASE|Profaz I
Çürükçül canlılarda, salyangoz, deniz kestanesi gibi bazı omurgasızlarda ve omurgalılarda görülen sindirim biçimi nedir?|sindirim biçimi||ENTITY|PROCESS.ANIMAL|hücre dışı sindirim  
Daha önce üzerinde bir komünitenin bulunduğu ancak aşırı otlatma, kesim, yangın gibi nedenlerle bozulmuş ortamlarda gerçekleşen süksesyon çeşidi nedir?|süksesyon çeşidi||DESCRIPTION|DEFINITION|ikincil süksesyon  
Değiştiğinde deneyin sonucunu etkileyen değişkene ne denir?|değişkene||DESCRIPTION|DEFINITION|Bağımsız değişken
Deneyde etkisi araştırılan değişkene ne denir?|değişkene||DESCRIPTION|DEFINITION|Bağımsız değişken
Deniz, okyanus ve diğer sulardaki canlıları inceleyen bilim dalına ne denir?|bilim dalına||DESCRIPTION|DEFINITION|Deniz biyolojisi
Derin kök sistemine sahip bitkilerde ve boyu 100-150 metreye kadar çıkabilen büyük ağaçlarda suyun taşınmasında etkili olan, ksilemin su almasını sağlayan itici kuvvet nedir?|kuvvet|itici|DESCRIPTION|DEFINITION|kök basıncı 
Diğer hücrelerden gelen uyartıları alan ve elektrik sinyalleri halinde hücre gövdesine doğru iletmekte görevli uzantıya ne ad verilir?|uzantıya||ENTIRY|CELL.TYPE|dendrit
Dil, kulak, deri ve kaslar gibi vücudun çeşitli kısımlarında bulunan reseptörlerden aldıkları uyartıları merkezi sinir sistemine taşıyan nöronlara ne ad verilir?|nöronlara||ENTIRY|CELL.TYPE|duyu nöronları  
Dilin arka kısmında hangi tat almaçları çok yoğun bulunur?|tat almaçları||ENTITY|TISSUE|Acı
Disakkarit oluşurken, monosakkaritler arasında hangi bağ kurulur?|bağ||DESCRIPTION|DESCRIPTION|Glikozit
Disakkaritlerin diğer adı nedir?|adı|diğer|ENTITY|SUBSTANCE|İki şekerliler
Disakkaritlerin su ile tepkimeye girerek yapı birimlerine ayrılmasına ne denir?|ayrılmasına||ENTITY|SUBSTANCE|Hidroliz
Dişi bireylerin yumurtalıklarında yumurta oluşmasına ne denir?|oluşmasına||ENTITY|PROCESS.ANIMAL|Oogenez
Dişi organın alt kısmında genişlemiş yapıda olan, içinde tohuma dönüşecek tohum taslaklarının bulunduğu dişi organ bölümüne ne ad verilir?|dişi organ bölümüne||ENTITY|SECTION.PLANT|yumurtalık
Dişlerin görünen kısımlarına ne ad verilir?|kısımlarına||ENTITY|SECTION.PLANT|taç 
Dişlerle ve mide hareketleriyle besinlerin ezilmesi hangi tür sindirime örnektir?|tür sindirime||ENTITY|PROCESS.ANIMAL|mekanik sindirim 
Diyaframın altında, karın boşluğunun üst sol bölgesinde bulunan, sindirimim sisteminin kese gibi genişlediği kısım olan sindirim organı nedir?|sindirim organı||ENTITY|ORGAN|mide
DNA nükleotidlerinin kimyasal sentezini ilk kim gerçekleştirmiştir?|gerçekleştirmiştir||HUMAN|INDIVIDUAL|Gobind Khorana
DNA nükleotidlerinin kimyasal sentezini ilk ne zaman gerçekleştirildi?|zaman gerçekleştirildi||TEMPORAL|DATE|1965
DNA’da bulunan üçlü baz dizisine ne ad verilir?|baz dizisine|üçlü|DESCRIPTION|DESCRIPTION|genetik şifre ya da genetik kod  
DNA’da ki bilgiyi ribozomlara iletmek neyin görevidir?|iletmek görevidir||ENTITY|PROPER NOUN|RNA
DNA’nın genetik bilgiyi aktardığına dair ilk kanıt ne zaman elde edilmiştir?|zaman elde edilmiştir||TEMPORAL|DATE|1944
DNA’nın genetik bilgiyi aktardığına dair ilk kanıtı bulmaya çalışan bilim insanları kimlerdir?|bilim insanları||HUMAN|INDIVIDUAL|Oswald T. Avery   
DNA’nın genetik bilgiyi aktardığını kanıtlama araştırmaları sırasında yapılan deneylerde hangi hastalığa ait bakteriler kullanılmıştır?|hastalığa||ENTITY|DISEASE|zatürre
DNA’nın replikasyonu sırasında, bir genin tek bir nükleotid çiftinde meydana gelen değişime ne ad verilir?|değişime||ENTITY|PROCESS.ANIMAL|gen (nokta) mutasyonu  
DNA’nın yapısında, RNA’dan farklı olarak hangi şeker bulunmaktadır?|şeker||ENTITY|SUBSTANCE|deoksiriboz şekeri  
Doğa bilimleri yanında çeşitli mühendislik alanlarını da kullanarak bitki, hayvan ve mikroorganizma yapılarını kültür ortamında değiştirip geliştirerek onlardan yeni ürünler elde etmeyi amaçlayan bilim dalı nedir?|bilim dalı||DESCRIPTION|DEFINITION|biyoteknoloji
Doğada en çok bulunan yağ çeşidi nedir?|yağ çeşidi||ENTITY|SUBSTANCE|Trigliseritler
Doğada gerçekleşen olaylar hakkında yapılan ve arkasında güçlü deliller bulunan açıklamalara ne denir?|açıklamalara||DESCRIPTION|DEFINITION|Teori
Doğadaki olayların gözlemlenip deneylerle test edilmesinden sonraki bilgi üretim faaliyetine ne denir?|bilgi üretim faaliyetine||DESCRIPTION|DEFINITION|Bilim
Doğum öncesinde kalıtsal hastalıkların teşhisi için bir enjektör ile amniyon kesesinden amniyotik sıvı çekilmesi ve sıvının içindeki hücrelerin analiz edilerek kalıtsal hastalıkların teşhisi yöntemine ne ad verilir?|yöntemine||ENTITY|PROCESS.ANIMAL|amniyosentez
Doğum ve içe göçlerin, ölüm ve dışa göçlerden daha az olması durumunda ne gerçekleşir?|durumunda gerçekleşir||DESCRIPTION|DEFINITION|popülasyon büyüklüğünün azalması  
Doğum ve içe göçlerin, ölüm ve dışa göçlerden daha fazlası olması durumunda ne gerçekleşir?|durumunda gerçekleşir||DESCRIPTION|DEFINITION|popülasyon büyüklüğünün artması
Doğuştan var olan reflekslere ne ad verilir?|reflekslere||ENTITY|PROCESS.ANIMAL|kalıtsal refleks
Dokunma, acı, basınç ve derideki sıcaklığı algılayan beyin lobu hangisidir?|beyin lobu||ENTITY|SECTION.ANIMAL|parietal lop  
Dolaşım, sindirim, solunum, üreme ve boşaltım sistemlerini meydana getiren organların yapısında buluna kaslar, hangi kas türüne örnektir?|kas türüne||ENTITY|MUSCLE.TYPE|düz kas  
Döllenme dış ortamda sağlandıktan sonra, zigotun rahime yerleştirilmesi olayına ne denir?|olayına||ENTITY|PROCESS.ANIMAL|Tüp bebek yöntemi
Döllenme sonucu meydana gelen embriyo ne ile korunur?|embriyo korunur||ENTITY|ANIMAL.STRUCTURE|Embriyonik zar
Döllenme sonucu oluşan bitki embriyosunun bir kabuğun içinde paketlenmiş haline ne denir?|haline||ENTITY|PLANT.STRUCTURE|Tohum
Domuz gribi hastalığına neden olan virüs nedir?|virüs||ENTITY|VIRUS|H1N1
Dünya çevre günü ne zaman kutlanır?|zaman kutlanır||TEMPORAL|DATE|5-Jun
Dünya çölleşme ve kuraklıkla mücadele günü ne zaman kutlanır?|zaman kutlanır||TEMPORAL|DATE|17-Jun
Dünya habitat günü ne zaman kutlanır?|zaman kutlanır||TEMPORAL|DATE|4-Oct
Dünya okyanus günü ne zaman kutlanır?|zaman kutlanır||TEMPORAL|DATE|8-Jun
Dünya ormancılık günü ne zaman kutlanır?|zaman kutlanır||TEMPORAL|DATE|21-Mar
Dünya sağlık örgütünün kısa adı nedir?|adı|kısa|HUMAN|INDIVIDUAL|WHO
Dünya su günü ne zaman kutlanır?|zaman kutlanır||TEMPORAL|DATE|22-Mar
Dünya tasarruf günü ne zaman kutlanır?|zaman kutlanır||TEMPORAL|DATE|31-Oct
Dünyada bilinen bor rezervlerinin %75'i nerede bulunur?|bulunur||LOCATION|LOCATION|Kütahya
Dünyada bilinen bor rezervlerinin ne kadarı Kütahya'da bulunur?|kadarı bulunur||NUMERIC|PERCENTAGE|75%
Dünyada en fazla görülen solucan tipi hangisidir?|solucan tipi||ENTITY|ANIMAL|Yuvarlak solucan
Dünyada ortalama kaç farklı bitki türü vardır?|bitki türü|farklı|NUMERIC|COUNT|280,000
Dünyanın en küçük bitkisi olarak kabul edilen bitki hangisidir?|bitki||ENTITY|PLANT|Su mercimeği
Duyma, koklama ve hafıza merkezi olan beyin lobu hangisidir?|beyin lobu||ENTITY|SECTION.ANIMAL|temporal lop  
Duyu nöronları ile motor nöronlar arasındaki bağlantıyı sağlayan yapıya ne ad verilir?|yapıya||ENTIRY|CELL.TYPE|ara nöron  
Düz kaslara oranla daha hızlı kasılıp, fakat çabuk yorulan kas türü hangisidir?|kas türü||ENTITY|MUSCLE.TYPE|çizgili kas  
Düzgün silindirik yapıda olmayıp dallanmalar gösteren, bir veya iki çekirdekli olan kas türüne ne ad verilir?|kas türüne||ENTITY|MUSCLE.TYPE|kalp kası  
Eklem bölgesinde bulunan, bağ dokudan yapılmış kapsüle ne ad verilir?|kapsüle||DESCRIPTION|DEFINITION|eklem kapsülü  
Eklem kapsülü ve eklem sıvısının bulunmadığı, hareketi sınırlı olan eklem türü hangisidir?|eklem türü||ENTITY|ANIMAL.STRUCTURE|az oynar eklem  
Eklem kapsülü ve eklem sıvısının bulunmadığı, kafatası ve yüzdeki eklem türü hangisidir?|eklem türü||ENTITY|ANIMAL.STRUCTURE|oynamaz eklem  
Eklemlerde kemiğin aşınmasını önleyen yapı hangisidir?|yapı||DESCRIPTION|DEFINITION|eklem kıkırdağı
Eklemlerde yer alan, iki kemiği bağlayan eklem bağlarına ne ad verilir?|eklem bağlarına||DESCRIPTION|DEFINITION|ligament
Ekoloji nedir?|ekoloji||ABBREVIATION|EXPRESSION|Çevre bilimi
El ve ayak bileklerindeki kemikler hangi kemik türüne örnektir?|kemik türüne||ENTITY|ANIMAL.STRUCTURE|kısa kemikler  
Embriyo döneminde iskelet hangi kıkırdak yapıdadır?|kıkırdak yapıdadır||ENTITY|ANIMAL.STRUCTURE|hiyalin kıkırdak  
Embriyo gelişiminde blastomerin morulaya dönüştüğü evre hangisidir?|evre||ENTITY|PHASE|Bölünme
Embriyo ile amniyon zar arasında ne vardır?|vardır||ENTITY|ANIMAL.STRUCTURE|Amniyon sıvısı
Embriyonun erken dönemlerinde elde edilen kök hücrelere ne denir?|hücrelere|kök|ENTITY|ORGANELLE|Embriyonik kök hücre
