Geography Factoid Questions||||||
Question|Focus|Mod|Coarse Class|Fine Class|Answer|
Dağıtım neyin tüketiciye ulaştırılmasıdır?|ulaştırılmasıdır||DESCRIPTION|DEFINITION|Mal ve Hizmetlerin|
Dağlar haritada hangi renkle gösterilir?|renkle||ENTITY|OTHERS|Kahverengi|
Dağlık alanlarda yamaçlar boyunca ufalanan çeşitli malzemelerin, dağların eteklerinde birikmesiyle oluşan topraklara ne ad verilir?|topraklara ad||DESCRIPTION|DEFINITION|Kolüvyal toprak|
Dalgaların kabarma ve çekilme hareketlerinden yararlanılarak üretilen enerjiye ne denir?|enerjiye denir||DESCRIPTION|DEFINITION|Dalga enerjisi|
Dar alandan en çok ürünü almak için uygulanan tarım yöntemine ne ad verilir?|tarım yöntemine ad||DESCRIPTION|DEFINITION|İntansif|
Dayk, batolit ve sill gibi şekiller magmanın nerede katılaşarak oluşturduğu şekillerdir?|katılaşarak oluşturduğu şekillerdir||LOCATION|LOCATION|Yer kabuğunun iç kısımlarında|
Debi ne cinsinden ifade edilir?|cinsinden||NUMERIC|UNIT|m3/sn|
Dekkan platosu Hindistan'ın hangi tarafında bulunur?|tarafında||LOCATION|REGION|Güney|
Delta ovalarındaki kıyı oklarının gerisinde oluşan göllere ne denir?|göllere denir||DESCRIPTION|DEFINITION|Kıyı set gölü|
Deniz ekosisteminin ortalama derinliği ne kadardır?|derinliği kadardır|ortalama|NUMERIC|SIZE.DEPTH|3700|
Deniz gerilemesine ne denir?|deniz gerilemesine denir||DESCRIPTION|DEFINITION|Regrasyon|
Deniz kenarlarında organik kökenli iskeletlerin birikmesiyle oluşmuş kayalara ne ad verilir?|kayalara ad||DESCRIPTION|DEFINITION|Resif|
Deniz seviyesinin altında kıyı çizgisinden 200 metre derine kadar inen bölüme ne denir?|bölüme denir||DESCRIPTION|DEFINITION|Kıta sahanlığı|
Deniz seviyesinin altında, kıyı çizgisinden 200 m derine kadar inen bölüme ne ad verilir?|bölüme ad||DESCRIPTION|DEFINITION|Kıta sahanlığı|
Deniz ve göller haritada hangi renkle gösterilir?|renkle||ENTITY|OTHERS|Mavi|
Denizden kazanılan topraklara ne ad verilir?|topraklara ad||ENTITY|ENTITY|Polder|
Denizler ve okyanuslar yeryüzünde ne kadar alan kaplamaktadır?|kadar alan||NUMERIC|SIZE.AREA|361 milyon km2/361000000 km2/361.000.000 km2|
Denizler ve okyanuslar yeryüzünün yüzde kaçını meydana getirir?|yeryüzünün yüzde||NUMERIC|PERCENTAGE|71%|
Denizlerde güneş ışınları kaç metreye kadar etkilidir?|metreye||NUMERIC|SIZE.DEPTH||
Denizlerden üretilen balık üretiminin yüzde kaçı Karadeniz bölgesinden karşılanır?|balık üretiminin yüzde||NUMERIC|PERCENTAGE|0.67/67%/%67|
Denizlerle bağlantısı olmayan su birikintilerine ne ad verilir?|su birikintilerine ad||ENTITY|ENTITY|göl|
Deodorant ve zararlı gazların sanayide kullanımı temel olarak hangi çevre sorununa yol açar?|çevre sorununa||ENTITY|OTHERS|Ozon tabakasının incelmesi|
Deprem dalgaları içinde en hızlı dalgalar hangileridir?|dalgalar|en hızlı|ENTITY|ENTITY||
Deprem sırasında yer kabuğuna ilk ulaşan dalgalar hangileridir?|dalgalar||ENTITY|ENTITY||
Deprem, tsunami gibi doğal afetleri önceden haber veren sistemlere ne denir?|sistemlere denir||DESCRIPTION|DEFINITION|Erken uyarı sistemleri|
Depremin aletle ölçülen büyüklüğüne ne denir?|büyüklüğüne denir||DESCRIPTION|DEFINITION||
Depremler nedeniyle okyanus kıyılarında oluşan dev dalgalara ne ad verilir?|dalgalara ad|dev|DESCRIPTION|DEFINITION|Tsunami|
Depremler oluşumlarına göre kaça ayrılır?|depremler ayrılır||NUMERIC|COUNT|3|
Dev kazanı hangi dış güç tarafından oluşturulur?|dış güç||ENTITY|ENTITY|Akarsu|
Devlet Su İşleri kısaca nasıl ifade edilir?|ifade edilir||ABBREVIATION|ABBREVIATION|DSİ|
Devletleşmeyle birlikte gelen merkezi şehirlere ne isim verilir?|şehirlere isim|merkezi|DESCRIPTION|DEFINITION|İdari kentler|
Dicle sularını nereye döker?|döker||LOCATION|LOCATION|Basra körfezi|
Direnci düşük kayaçların bulunduğu arazilerde ne tür yer şekileri meydana gelir?|tür yer şekilleri||ENTITY|ENTITY||
Dış çekirdek neden oluşur?|oluşur||ENTITY|SUBSTANCE||
Dış ticaretin diğer adı nedir?|ad|diğer|ENTITY|OTHERS|Küresel ticaret|
Doğa ile insan arasındaki etkileşimi inceleyen bilim dalı hangisidir?|bilim dalı||DESCRIPTION|DEFINITION|Coğrafya|
Doğada kaç çeşit bor minareli vardır?|çeşit bor minerali||NUMERIC|COUNT|230|
Doğal afetler gelişim hızlarına göre kaça ayrılırlar?|doğal afetler ayrılırlar||NUMERIC|COUNT|2|
Doğal afetler oluşum nedenlerine göre kaça ayrılırlar?|doğal afetler ayrılırlar||NUMERIC|COUNT|2|
Doğal çevreyi kaç temel unsur oluşturur?|temel unsur||NUMERIC|COUNT|4|
Doğal çevreyi oluşturan dört temel unsur hangileridir?|unsur|dört temel|DESCRIPTION|DESCRIPTION|Atmosfer, litosfer, hidrosfer ve biyosfer|
Doğal çevreyi oluşturan temel unsurlar hangileridir?|unsurlar|temel|DESCRIPTION|DESCRIPTION|Atmosfer, litosfer, hidrosfer ve biyosfer|
Doğru Karadenizdeki akarsuların her zaman bol su taşıyor olmasının temel sebebi nedir?|sebebi|temel|DESCRIPTION|REASON|Yağış miktarı|
Doğu Anadolu bölgesinde kaç bölüm vardır?|bölüm||NUMERIC|COUNT|4|
Doğu Anadolu bölgesinde kaç il vardır?|il||NUMERIC|COUNT|14|
Doğu Anadolu bölgesinin en kalabalık nüfusa sahip olan ili hangisidir?|ili||LOCATION|CITY|Erzurum|
Doğu Anadolu bölgesinin nüfusu ortalama ne kadardır?|nüfusu kadardır|ortalama|NUMERIC|SIZE.POPULATION|6147000|
Doğu Anadolu bölgesinin yüz ölçümü yaklaşık ne kadardır?|yüz ölçümü kadardır|yaklaşık|NUMERIC|SIZE.AREA|163.000 km2|
Doğubeyazıt hangi yıl Ağrı'ya bağlanmıştır?|yıl||TEMPORAL|DATE|1927|
Doğum oranından ölüm oranı çıkartıldığında ne bulunur?|bulunur||DESCRIPTION|DESCRIPTION|Doğal nüfus artışı|
Dortmund hangi sanayi bölgesinde yer almaktadır?|sanayi bölgesinde||LOCATION|REGION|Ruhr|
DPT ne zaman kurulmuştur?|zaman kurulmuştur||TEMPORAL|DATE|1960|
DPT neyi ifade eder?|ifade eder||ABBREVIATION|EXPRESSION|Devlet Planlama Teşkilatı|
Dünya bankası kaç yılında kurulmuştur?|yılında||TEMPORAL|DATE|1945|
Dünya ticaretinin yüzde kaçı Panama kanalı üzerinden yapılmaktadır?|dünya ticaretinin yüzde||NUMERIC|PERCENTAGE|%5/5%|
Dünya üzerinde ilk rüzgar türbini ne zaman kullanılmıştır?|zaman kullanılmıştır||TEMPORAL|DATE|1890|
Dünya üzerinde kaç adet çalışır durumda nükleer santral bulunmaktadır?|adet nükleer santral||NUMERIC|COUNT|442|
Dünya üzerinde üretilen elektriğin yüzde kaçı hidroelektrik santrallerden üretilmektedir?|elektriğin yüzde||NUMERIC|PERCENTAGE|17%|
Dünya üzerinde üretilen enerjinin yüzde kaçı hidroelektrik enerjisidir?|enerjinin yüzde||NUMERIC|PERCENTAGE|17%|
Dünya üzerindeki bir noktanın başlangıç meridyenine en yakın uzaklığının açı cinsinden değerine ne ad verilir?|değerine ad|açı cinsinden|DESCRIPTION|DEFINITION|boylam|
Dünyaca ünlü Çoruh nehrinde hangi spor yapılır?|spor||ENTITY|OTHERS|Rafting|
Dünyada demir yolu ağının en sık olduğu bölge neresidir?|bölge||LOCATION|LOCATION|ABD|
Dünyada en az deprem olma olasılığı olan bölgeler nereleridir?|bölgeler||LOCATION|REGION|Doğu Avrupa Avustralya İskandinav yarım adası|
Dünyada en fazla deprem hangi deprem kuşağında meydana gelir?|deprem kuşağında||ENTITY|OTHERS|Büyük okyanus|
Dünyada hava ulaşımının kaçta kaçı ABD sınırları içinden gerçekleşmektedir?|hava ulaşımının||NUMERIC|PERCENTAGE|33%/%33|
Dünya'da iç su ulaşım ağı en gelişmiş ülke hangisidir?|ülke||LOCATION|COUNTRY|Hollanda|
Dünyada ilk modern manada nüfus sayımları nerede yapılmıştır?|yapılmıştır||LOCATION|COUNTRY|İskandinav Ülkelerinde|
Dünyada ilk olarak halkına televizyon yayını yapan ülke hangisidir?|ülke||LOCATION|COUNTRY|İngiltere|
Dünyada ilk telgraf hattı ne zaman kurulmuştur?|zaman kurulmuştur||TEMPORAL|DATE|1844|
Dünyada kapakları olmayan en uzun kanal hangisidir?|kanal|en uzun|ENTITY|RIVER|Süveyş Kanalı|
Dünyada kullanılan enerji kaynaklarının yüzde kaçı yenilenebilir kaynaklardır?|enerji kaynaklarının yüzde||NUMERIC|PERCENTAGE|14%/%14|
Dünyada mercimek üretiminde birinci sırada olan ülke neresidir?|ülke||LOCATION|COUNTRY|Hindistan|
Dünyada nüfusun en az olduğu kıta hangisidir?|kıta||LOCATION|CONTINENT|Okyanusya|
Dünyada nüfusun en çok olduğu kıta hangisidir?|kıta||LOCATION|CONTINENT|Asya|
Dünyada sel felaketleri en çok nerede yaşanır?|yaşanır|en çok|LOCATION|LOCATION|Güney asya|
Dünyada tektonik göllerin en yoğun olduğu bölge neresidir?|bölge||LOCATION|REGION|Doğu Afrika|
Dünyada turistlik açıdan en fazla ziyaret edilen ülke neresidir?|ülke||LOCATION|COUNTRY|Fransa|
Dünyadaki aktif volkanlar en fazla hangi bölgede konumlanmıştır?|bölgede|en fazla|LOCATION|REGION|Büyük okyanus çevresi|
Dünyadaki aktif volkanların kaçta kaçı Japonya'dadır?|aktif volkanların||NUMERIC|PERCENTAGE|Yedide biri|
Dünyadaki bor rezervlerinin yüzde kaçı Türkiye'dedir?|bor rezervlerinin yüzde||NUMERIC|PERCENTAGE|%63/63%|
Dünyadaki denizlerin ortalama derinliği ne kadardır?|derinliği kadardır|ortalama|NUMERIC|SIZE.DEPTH|4000 metre|
Dünyadaki okyanus sayısı kaçtır?|okyanus sayısı||NUMERIC|COUNT|3|
Dünya'daki toplam istihdamın ne kadarı turizm sektöründedir?|toplam istihdamın kadarı||NUMERIC|PERCENTAGE|%8/8%|
Dünyadaki yerleşmeler nerede son bulmaktadır?|son bulmaktadır||LOCATION|LOCATION|Deniz kıyılarında|
Dünyanın 7 harikasından günümüze kalan tek eser hangisidir?|eser|tek|DESCRIPTION|DEFINITION|Keops Piramidi|
Dünyanın en az nüfusa sahip kıtası hangisidir?|kıtası||LOCATION|CONTINENT|Okyanusya|
Dünyanın en büyük su nakli projesi hangi ülkeye aittir?|ülkeye||LOCATION|COUNTRY|Libya|
Dünyanın en fazla nüfusa sahip kıtası hangisidir?|kıtası||LOCATION|CONTINENT|Asya|
Dünyanın en uzun demir yolu hattının adı nedir?|demir yolu hattının adı|en uzun|ENTITY|OTHERS|Trassibirya|
Dünyanın en uzun demiryolu hattının yaklaşık uzunluğu ne kadardır?|uzunluğu kadardır|yaklaşık|NUMERIC|AVERAGE|15000 km|
Dünyanın kıyı şeritlerindeki dalga enerjisi potansiyeli ortalama ne kadardır?|dalga enerjisi potansiyeli kadardır||NUMERIC|AVERAGE|4milyon kwh|
Dünyanın nüfusu ne kadardır?|kadardır||NUMERIC|SIZE.POPULATION|Yaklaşık 7 Milyar|
Dünyanın yaşı yaklaşık kaçtır?|yaşı|yaklaşık|NUMERIC|COUNT|4.5 milyar|
Dünyanın yıllık hareketi sırasında güneş çevresinde izlediği yörüngeye ne ad verilir?|yörüngeye ad||ENTITY|OTHERS|ekliptik düzlem|
Dünyayı dolaşan ilk denizci kimdir?|denizci|ilk|HUMAN|INDIVIDUAL|Macellan|
Dünydaki enerji kaynaklarının yüzde kaçını fosil yakıtlar oluşturmaktadır?|enerji kaynaklarının yüzde||NUMERIC|PERCENTAGE|80%/%80|
Dut ağaçlarının yaygın olduğu bölgelerde hangi hayvandan daha çok faydalanılır?|hayvandan||ENTITY|OTHERS|İpek böceği|
Düzce hangi yıl il olarak kabul edildi?|yıl||TEMPORAL|DATE|1999|
EEA kaç yılında kurulmuştur?|yılında||TEMPORAL|DATE|1990|
EEA'nın kaç üyesi vardır?|üyesi||NUMERIC|COUNT|32|
EEA'nın Türkçe açılımı nedir?|açılımı|Türkçe|ABBREVIATION|EXPRESSION|Avrupa çevre ajansı|
Efes'i yılda ortalama kaç kişi ziyaret etmektedir?|kişi|ortalama|NUMERIC|SIZE.POPULATION|1.5 Milyon kişi|
Ege bölgesi Türkiye'deki haşhaş üretiminin kaçta kaçını karşılar?|haşhaş üretiminin||NUMERIC|PERCENTAGE||
Ege bölgesinde akasuların doğrultusu ne yöne doğrudur?|yöne||ENTITY|OTHERS|Doğu-batı|
Ege Denizi hangi jeolojik zamanda oluşmuştur?|jeolojik zamanda||TEMPORAL|ERA|IV.Zaman/Kuaterner|
Ege, İç Anadolu ve Doğu Anadolu'nun çöküntülü kısımlarında yaygın olan üst kısmı kireçli topraklara ne denir?|üst kısmı kireçli topraklara denir||DESCRIPTION|DEFINITION|Rendzina|
Eğimli yamaçlarda fazla yağışlarla doygun hale gelen toprağın adeta bir hamur gibi yamaç boyunca kaymasına ne denir?|kaymasına denir||DESCRIPTION|DEFINITION|Heyelan|
Ekonomik faaliyetlerin ilk zincirini ne oluşturur?|oluşturur||ENTITY|OTHERS|Üretim|
Ekonomik faaliyetlerin son zincirini ne oluşturur?|oluşturur||ENTITY|OTHERS|Tüketim|
Ekonomik, sosyal, doğal ya da siyasi nedenlerle birey veya toplulukların yer değiştirmesine ne denir?|yer değiştirmesine denir||DESCRIPTION|DEFINITION|Göç|
Ekosfer kaç büyük ekosistemden oluşur?|ekosistemden|büyük|NUMERIC|COUNT|3|
Ekosistemin en büyük birimi nedir?|birimi|en büyük|ENTITY|OTHERS|Biyom|
Ekvator bölgesinde nüfuslanmanın az olmasının en temel sebebi nedir?|sebebi|en temel|DESCRIPTION|REASON|Sık ormanlar|
Ekvator kesiminde, meskenlerin bambu ve kamıştan yapılmasının en önemli sebebi nedir?|sebebi|en önemli|DESCRIPTION|REASON|Sıcaklık|
Ekvatoral bölgede Amazon ve Kongo havzasında yerleşimin az olmasının sebebi nedir?|sebebi||DESCRIPTION|REASON|Gür ormanlar|
Ekvatoral iklimde yıllık yağış miktarı ne kadardır?|yağış miktarı kadardır|yıllık|NUMERIC|SIZE.VOLUME|200 mm'nin üzerinde|
Ekvatorda kentlerin yükseğe kurulmasının sebebi nedir?|sebebi||DESCRIPTION|REASON|Sıcaklığın fazla olması|
En büyük paralel dairesi hangisidir?|paralel dairesi|en büyük|ENTITY|OTHERS|Ekvator|
En fazla hasara neden olan dalgalar hangileridir?|dalgalar||ENTITY|OTHERS|L dalgaları|
En geniş havzaya sahip bölgemiz hangisidir?|bölgemiz||LOCATION|REGION.LOCAL|Karadeniz|
En son il haline getirilen ilçe hangisidir?|ilçe||LOCATION|CITY|Düzce|
Epirojenik hareketler sırasında denizin çekilmesine ne denir?|denizin çekilmesine denir||DESCRIPTION|DEFINITION||
Erzurumun nüfusu yaklaşık ne kadardır?|nüfusu kadardır|yaklaşık|NUMERIC|SIZE.POPULATION|780000|
Eş derinlik eğrilerinin diğer adı nedir?|adı|diğer|ENTITY|OTHERS|İzobat|
Eş sıcaklık eğrilerine ne denir?|eş sıcaklık eğrilerine denir||ENTITY|ENTITY|izoterm|
Estetik, kültürel, bilimsel, ekonomik unsurlarla zenginleşen doğal güzelliklerin ve biyolojik çeşitliliğin oluşturduğu değerlere ne denir?|değerlere denir||DESCRIPTION|DEFINITION|Doğal miras|
FAO'nun Türkçe açılımı nedir?|açılımı|Türkçe|ABBREVIATION|EXPRESSION|BM gıda ve tarım örgütü|
Fasulye kaç metreden yüksek yerlerde yetişmez?|metreden yüksek||NUMERIC|SIZE.HEIGHT|1200 metre|
Federal Almanya ve Doğu Almanya hangi tarihte birleşmişlerdir?|tarihte||TEMPORAL|DATE|3 Ekim 1990/1990|
FFI ne zaman kurulmuştur?|zaman kurulmuştur||TEMPORAL|DATE|1903|
FFI'nin Türkçe açılımı nedir?|açılımı|Türkçe|ABBREVIATION|EXPRESSION|Uluslararası fauna ve flora|
Filipinler'in başkenti neresidir?|başkenti||LOCATION|CAPITAL|Manila|
Fırat nehrinde bahar aylarında saniyede geçen ortalama su akımı ne kadardır?|su akımı kadardır|ortalama|NUMERIC|SIZE.DENSITY|2000 metre küp/2000 m3|
Fırat sularını nereye döker?|döker||LOCATION|LOCATION|Basra körfezi|
Fiziki haritada tarım alanlarına uygun yerler hangi renkle gösterilir?|renkle||ENTITY|OTHERS|sarı|
Fiziki haritalarda yeşil alanlar kaç metre aralıkları ifade eder?|metre aralıkları||NUMERIC|SIZE.LENGTH|0-200|
Fransa'da yıllık kişi başına düşen milli gelir ne kadardır?|milli gelir kadardır||NUMERIC|MONEY|33.678$/33678$|
Fransa'daki havaalanı sayısı kaçtır?|havaalanı sayısı||NUMERIC|COUNT|478|
Fuji dağının yüksekliği ne kadardır?|yüksekliği kadardır||NUMERIC|SIZE.HEIGHT|3766 metre|
G-20 ülkeleri ne zaman kurulmuştur?|zaman kurulmuştur||TEMPORAL|DATE|25 eylül 1999|
G-8 ülkeleri hangi yıldan beri faaliyet göstermektedirler?|yıldan beri||TEMPORAL|DATE|1975|
Galapagos takım adalarının toplam yüzölçümü yaklaşık ne kadardır?|yüzölçümü kadardır|toplam yaklaşık|NUMERIC|SIZE.AREA|50000 km2|
Ganj nehri hangi ülkededir?|ülkededir||LOCATION|COUNTRY|Hindistan|
Ganj nehri nerede doğar?|doğar||LOCATION|COUNTRY|Himalayalar|
Ganj nehri nereden denize dökülür?|dökülür||LOCATION|CITY|Bengal Körfezi|
GAP'ın açılımı nedir?|açılımı||ABBREVIATION|EXPRESSION|Güneydoğu Anadolu Projesi|
Geçtiği kıyılarda havanın soğumasına neden olan sulara ne denir?|sulara denir||DESCRIPTION|DEFINITION|okyanus akıntıları|
Gelgitin oluşturduğu okyanus veya deniz suyunun yükselme ve geri çekilme hareketlerinin kıyılara kurulan türbinler sayesinde elektrik enerjisine çevrilmesine ne denir?|elektrik enerjisine çevrilmesine denir||DESCRIPTION|DEFINITION|Gelgit enerjisi|
Gelişmekte olan ülkelerde ortalama yaşam süresinin uzamasının gelecekte doğuracağı en önemli sonuç nedir?|sonuç|en önemli|DESCRIPTION|EFFECT|Yaşlılık sorunu|
Genç nüfus olarak kabul edilen yaş grubu nedir?|yaş grubu||NUMERIC|RANGE|0-14|
Genel olarak Ekvator'dan kutuplara gidildikçe sıcaklık nasıl değişir?|değişir||DESCRIPTION|EFFECT|azalır|
Genellikle ekinler biçildikten sonra buğday ve diğer tahılların tarlada kalan sap kısımlarına ne denir?|sap kısımlarına denir||DESCRIPTION|DEFINITION|Anız|
Geniş yerkabuğu parçalarının yükselmesi ya da çökmesi şeklindeki yer hareketlerine ne denir?|yer hareketlerine denir||DESCRIPTION|DEFINITION|Epirojenez|
Gerçek ölçülerin küçültülerek çizilmesine ne denir?|çizilmesine denir||DESCRIPTION|DEFINITION|plan|
Göç alan şehirlerde ortaya çıkan problemlerin temel nedeni nedir?|nedeni|temel|DESCRIPTION|REASON|Plansız kentleşme|
Göçlerin en önemli nedeni nedir?|nedeni||DESCRIPTION|REASON|Ekonomik faktörlerdir|
Göçlerin kaç temel sebebi vardır?|sebebi|temel|NUMERIC|COUNT|4|
Gökçeada'nın yüz ölçümü kaç kilometre karedir?|kilometre karedir||NUMERIC|SIZE.AREA|279 km2|
Göknar ortalama hangi yükseklerde görülür?|yükseklikte|ortalama|NUMERIC|SIZE.HEIGHT|1000-1500 metre|
Göl ayağının diğer bir adı nedir?|Göl ayağının adı|diğer|ENTITY|OTHERS|Gideğen|
Gölden çıkan akarsuların beslendiği yerlere ne denir?|beslendiği yerlere denir||DESCRIPTION|DEFINITION|Gideğen|
Gölgelendirme yöntemi ile çizim yapılırken haritanın sağ üst köşesinden kaç derecelik bir açıyla ışık geldiği varsayılır?|derecelik açıyla||NUMERIC|DEGREE|45|
Göllerin fazla sularını boşaltan akarsulara ne denir?|akarsulara denir||DESCRIPTION|DEFINITION|Gideğen/göl ayağı|
Gönüllü göçler üzerinde etkili olan faktörlere ne isim verilir?|faktörlere isim||DESCRIPTION|DEFINITION|Çekici faktörler|
Granit, siyenit, diyorit ve gabro ne tip kayaçlardır?|kayaçlardır||ENTITY|ENTITY|İç püskürük|
Granitik kabuğun bileşiminde en çok hangi elementler bulunur?|elementler|en çok|ENTITY|SUBSTANCE||
Granitik kabuğun yoğunluğu ne kadardır?|yoğunluğu kadardır||NUMERIC|SIZE.DENSITY|2.7 g cm3|
Granitik kabuk hangi taşlardan meydana gelir?|taşlardan||ENTITY|SUBSTANCE||
Greenpeace örgütü ne zaman kurulmuştur?|zaman kurulmuştur||TEMPORAL|DATE|1971|
Greenpeace Türkiye'de ilk ofisini ne zaman açmıştır?|zaman açmıştır||TEMPORAL|DATE|1991|
Greenwich'in antimeridyeni nedir?|antimeridyeni||ENTITY|OTHERS|1800 boylamı|
Gulf Stream sıcak su akıntısı hangi yönde hareket eder?|yönde||ENTITY|OTHERS|kuzey|
Gulf Stream sıcak su akıntısı nereleri etkiler?|etkiler||ENTITY|REGION|Avrupa iklimini|
Güneş ışınlarını dik açıyla alan Ekvator çevresinin Dünya'nın en sıcak yeri olmamasının sebebi nedir?|sebebi||DESCRIPTION|REASON|enlem etkisi|
Güneş ışınlarının kırılma ve yansıma miktarı neye göre artar?|göre||DESCRIPTION|REASON|atmosferde izlediği yola|
Güneş'in ufuk düzlemi üzerinde en yüksek noktaya ulaştığı zamana ne denir?|zamana denir||DESCRIPTION|DEFINITION|Öğle vakti|
Güneşten gelen mor ötesi ışınların büyük bir kısmını absorbe eden katman nedir?|katman||ENTITY|OTHERS|Ozon tabakası|
Güneydoğu asyanın fazla göç almasının temel sebebi nedir?|sebebi|temel|DESCRIPTION|REASON|Tarıma elverişlilik|
Günümüzde Almanyada yaklaşık kaç insanımız işçi olarak çalışmaktadır?|insanımız||NUMERIC|SIZE.POPULATION|1.3 milyon/1300000/1.300.000|
Günümüzde doğadan yararlanmamızı artıran ve hızlandıran en önemli faktör nedir?|faktör|en önemli|DESCRIPTION|REASON|Teknoloji|
Günün en soğuk anı ne zamandır?|zamandır||TEMPORAL|PERIOD|güneş doğmadan önce|
Ham maddenin işlenerek kullanıma hazır hâle getirilmesini kapsayan faaliyetlerin tümüne ne denir?|faaliyetlerin tümüne denir||DESCRIPTION|DEFINITION|Sanayi|
Harita çizimi ile uğraşan bilim dalına ne ad verilir?|bilim dalına ad||DESCRIPTION|DEFINITION|Kartoğrafya|
Haritada ovalar hangi renkte gösterilir?|renkte||ENTITY|OTHERS|Sarı|
Haritadaki uzunluğun gerçek uzunluğa bölünmesi neyi verir?|verir||DESCRIPTION|DESCRIPTION|Ölçek|
Haritadaki uzunluk ile harita ölçeğinin çarpımı neyi verir?|verir||DESCRIPTION|DESCRIPTION|Gerçek uzunluğu|
Haritaların küçültme oranına ne denir?|haritaların küçültme oranına denir||DESCRIPTION|DEFINITION|Ölçek|
Hatay hangi yıl Türkiye'ye bağlanmıştır?|yıl||TEMPORAL|DATE|1939|
Hava kirliliğinin oluşmasındaki başlıca etken nedir?|etken|başlıca|DESCRIPTION|REASON|Fabrikalar|
Hava sıcaklığını ölçen araca ne ad verilir?|araca ad||DESCRIPTION|DEFINITION|Termometre|
Hazar-Türkiye-Avrupa Doğal gaz hattı hangi proje kapsamında ilerlemektedir?|proje kapsamında||ENTITY|OTHERS|Nabuco Projesi|
Hindistan bağımsızlığını hangi tarihte kazanmıştır?|tarihte||TEMPORAL|DATE|1947|
Hindistan hangi kuzey enlemlerin arasındadır?|kuzey enlemlerin||NUMERIC|LATITUDE|60 370|
Hindistan hangi sistemle yönetilir?|sistemle||ENTITY|OTHERS|Federal Cumhuriyet|
Hindistan pamuk ve tütün üretimi bakımından dünyada kaçıncı sıradadır?|sıradadır||NUMERIC|COUNT|3|
Hindistan’da 1.5 milyon kişinin ölümüyle sonuçlanan kuraklık hangi yıllar arasında olmuştur?|yıllar arasında||TEMPORAL|PERIOD|1965 1967|
Hindistan'da yaşayanların yüzde kaçı tarımla uğraşır?|yaşayanların yüzde||NUMERIC|PERCENTAGE|0.64|
Hindistan'ın idari şekli nedir?|idari şekli||ENTITY|OTHERS|Federal Cumhuriyet|
Hindistan'ın tarım açısından en zengin ovaları hangileridir?|ovaları|en zengin|ENTITY|PLAIN|İndus ve Ganj|
Hint kenevirinin diğer adı nedir?|adı|diğer|ENTITY|OTHERS|Jüt|
Hinterlant'ın diğer adı nedir?|adı|diğer|ENTITY|OTHERS|Art bölge|
Hiposantr depremin nerede oluşturduğu kısımdır?|oluşturduğu kısımdır||LOCATION|LOCATION|Yerin içinde|
Hızla akan suyun, elektrik üreten türbinleri çalıştırması ile oluşan enerji ne enerjisidir?|enerjisidir||DESCRIPTION|DEFINITION|Hidroelektrik enerjisi|
Hızlı bir şekilde dönen hava kolonlarınının bulunduğu fırtına sistemine ne ad verilir?|fırtına sistemine ad||ENTITY|OTHERS|Hortum|
Hızlı Tren projesi kapsamında Ankara-İstanbul arası yolculuk süresinin kaç saat olması beklenmektedir?|saat||NUMERIC|COUNT|3 Saat|
Hollanda topraklarının kaçta kaçı deniz seviyesinin altındadır?|Hollanda topraklarının||NUMERIC|PERCENTAGE|4’te 1/25%/%25|
Hollanda'daki ormanlar ülke arazisinin yüzde kaçını oluşturur?|ülke arazisinin yüzde||NUMERIC|PERCENTAGE|0.18/18%/%18|
Hollanda'nın en alçak noktası kaç metredir?|metredir||NUMERIC|SIZE.LENGTH|-6.7 m|
Hollanda'nın en yüksek noktası kaç metredir?|metredir||NUMERIC|SIZE.LENGTH|321|
Hollanda'nın en yüksek noktası neresidir?|noktası|en yüksek|LOCATION|LOCATION|Vaalsberg tepesi|
Hollanda'nın kuzeyi ve güneyi arasındaki uzaklık ne kadardır?|uzaklık kadardır||NUMERIC|SIZE.LENGTH|300 km|
Hollanda'nın nüfus yoğunluğu ne kadardır?|nüfus yoğunluğu kadardır||NUMERIC|SIZE.DENSITY|353 kişi/km2|
Hollanda'nın resmi dili nedir?|resmi dili||HUMAN|LANGUAGE|Flemenkçe|
HongKong hangi tarihe kadar İngiliz Krallığına bağlı bir sömürgeydi?|tarihe kadar||TEMPORAL|DATE|1 Temmuz 1997/1997|
HongKong'da hangi iklim hakimdir?|iklim||ENTITY|OTHERS|Muson iklimi|
Hürmüz boğazının en dar yeri ne kadardır?|yeri kadardır|en dar|NUMERIC|SIZE.LENGTH|56 km|
İç Anadolu Bölgesi'nde hangi iklim türü hâkimdir?|iklim türü||ENTITY|OTHERS|karasal iklim|
İç çekirdeğin sıcaklığı kaç dereceyi bulur?|dereceyi||NUMERIC|DEGREE||
İç göçler hangi iki ana başlıkla ele alınır?|ana başlıkta|iki|ENTITY|OTHERS|Sürekli ve geçici|
İç göçlerde hangi yaş grubunun etkisi daha fazladır?|yaş grubunun||HUMAN|GROUP|15 44|
İç kuvvetlerin etkisiyle yeryüzünde oluşan hareketlerin adı nedir?|hareketlerin adı||DESCRIPTION|DEFINITION|Tektonik hareket|
İçerisinde bitki ve hayvan fosili bulunduran kayaç hangisidir?|kayaç||ENTITY|ENTITY|Kırıntı tortul kayaçlar|
İçinde yer altı suyunun bulunduğu tabakaya ne ad verilir?|tabakaya ad||ENTITY|OTHERS|Akifer|
