Bitkilerde aynı görevi yapmak üzere özelleşmiş hücre topluluklarına ne ad verilmektedir|||||doku 
Sindirim sistemi, ön bağırsak, orta bağırsak ve arka bağırsak şeklinde üç bölümden oluşan omurgasız hayvanlar hangileridir|||||böcekler
Sindirim sistemi, ağız, yutak, yemek borusu, mide, ince bağırsak ve kalın bağırsaktan oluşan hayvanlar hangileridir|||||omurgalı hayvanlar  
Omurgalı hayvanlardan kuşlarda besinlerin karaciğerden salgılanan hangi sıvı ile mekanik sindirimi gerçekleştirilir|||||öd sıvısı   
Çene yapısı kuvvetli, kesici dişler uzun ve sivri, köpek dişleri gelişmiş, azı dişleri ise ezip parçalamaya uygun şekilde farklılaşan memeliler hangi takıma aittir|||||Karnivor(etçil) memeliler  
Köpek dişleri bulunmayan, çene ve diş yapısı ot koparmaya uygun olan, azı dişleri gelişmiş olan memeliler hangi takıma aittir|||||Herbivor(otçul)  
Besinlerin ağza geri getirilerek yeniden çiğnenmesi olayına ne ad verilir|||||geviş getirme  
Geviş getiren memelilerin mide yapılarında ne vardır|||||işkembe, börkenek, kırkbayır ve şirden  
Geviş getiren memeliler, geviş getirme işleminden sonra tekrar yuttukları besinleri midenin hangi bölümüne besinlerdeki suyun büyük kısmının emilmesi için gönderirler|||||kırkbayır
Sindirim sistemindeki hangi organ etçillere göre otçullarda daha uzundur|||||ince bağırsak
İnsan sindirim sistemindeki dudak, yanak, damak ve yutakla çevrilmiş boşluğa ne ad verilir|||||ağız 
Tat alan, besinlerin karıştırılmasını ve yutağa gönderilmesini sağlayan organ nedir|||||dil
Yetişkin bir insanda toplam kaç diş vardır|||||32
Dişlerin görünen kısımlarına ne ad verilir|||||taç 
Parlak, sert ve dayanıklı olup, dişin taç kısmını örten tabakaya ne ad verilir|||||mine
Ağzın devamlı nemli kalmasını, besinlerin kayganlaşmasını, ağızda karbonhidratların kimyasal sindiriminin başlamasını sağlayan, amilaz ve mukustan oluşan yapı nedir|||||tükürük
Ağız boşluğu, burun boşluğu, yemek ve soluk borusu arasındaki geçitte hangi sindirim organı bulunur|||||yutak
Ağızda öğütülen besinleri yemek borusuna iletmek hangi sindirim organının görevidir|||||yutak
Yutak ile mide arasında bulunan sindirim organı nedir|||||yemek borusu  
Mekanik ve kimyasal sindirimin olmadığı sindirim kanalında bulunan yapı nedir|||||yemek borusu  
Lokmanın yemek borusundan mideye doğru ilerlemesini sağlayan dalga hareketlerine ne denir|||||peristaltik hareket  
Diyaframın altında, karın boşluğunun üst sol bölgesinde bulunan, sindirimim sisteminin kese gibi genişlediği kısım olan sindirim organı nedir|||||mide
Midenin yemek borusuyla bağlandığı bölüme ne ad verilir|||||mide ağzı
Midenin ince bağırsakla bağlandığı bölüme ne ad verilir|||||mide kapısı(pilor)  
Mide ve kalın bağırsak arasında kalan silindirik yapıda olan organ nedir|||||ince bağırsak  
İnce bağırsağın iç yüzeyindeki epitel dokunun bağırsak boşluğuna doğru oluşturduğu, emilme yüzeyini genişleten kıvrımlara ne denir|||||villus 
Hem safranın safra kanalına boşalmasını hem de pankreas enzimlerinin salgılanmasını sağlayan, sindirim sisteminde görev alan hormon hangisidir|||||kolesistokinin
Midenin salgı yapmasını önleyen ve mide hareketini yavaşlatan sindirim sisteminde görev alan hormon hangisidir|||||enterogastrin
Pankreastan bikarbonat iyonlarının salgılanmasını sağlayarak ince bağırsak pH’sını düzenleyen, karaciğerde safra üretimini ve salgılanmasını sağlayan sindirim sisteminde görev alan hormon nedir|||||sekretin
İnce bağırsaktan sonra başlayan ve anüs ile sonlanan boru şeklinde yapı nedir|||||kalın bağırsak  
İnce ve kalın bağırsağın birleştiği yerde ne bulunmaktadır|||||kör bağırsak  
Kör bağırsağın ucundaki apandis denilen parmak şeklindeki çıkıntının iltihaplanmasına ne denir|||||apandisit
Midenin üzerinde karın boşluğunun sağ tarafında bulunan organ nedir|||||karaciğer
Mide ile onikiparmak bağırsağı arasında, karın boşluğunda yer alan yaprak şeklinde yapıya ne ad verilir|||||pankreas
Şeker metabolizmasını düzenlemede görev yapan insülin ve glukagon hormonlarını üreten organ hangisidir|||||pankreas
Ağızda başlayıp incebağırsakta son bulan sindirim türü nedir|||||kimyasal sindirim  
Karbonhidratların sindirimi, sindirim kanalının hangi bölümünde başlar|||||ağızda
Tükürükte bulunan hangi enzim nişasta ve glikojen üzerine etki ederek karbonhidrat moleküllerini parçalar|||||amilaz enzimi  
Proteinlerin sindirimi, sindirim kanalının hangi bölümünde başlar|||||midede
Karbonhidratların sindirimi, sindirim kanalının hangi bölümünde biter|||||ince bağırsak  
Proteinlerin sindirimi, sindirim kanalının hangi bölümünde başlar|||||ince bağırsak  
Yağların sindirimi, sindirim kanalının hangi bölümünde başlar|||||ince bağırsak  
Yağların sindirimi, sindirim kanalının hangi bölümünde biter|||||ince bağırsak  
Büyük yağ damlalarını ince bağırsakta mekanik olarak sindirip çok küçük damlacıklara ayıran salgının adı nedir|||||safra
Karbonhidrat, yağ ve proteinlerin sindirim sonucu oluşan yapı taşlarının emilimi hangi organda gerçekleşir|||||ince bağırsak  
Su, mineraller ve bakteriler tarafından üretilen B ve K vitaminlerinin emilimi hangi organda gerçekleşir|||||kalın bağırsak  
Canlıların hücresel solunumda kullanılan oksijeni hücre içine alarak ve oluşan karbon dioksidi hücreden uzaklaştırmak amacıyla bulundukları ortamla gaz alış verişi yapması olayına ne denir|||||solunum
Gaz alış verişini vücut yüzeyinden difüzyonla yapan organizma türü nedir|||||bir hücreli organizmalar  
Toprak solucanı, süngerler, kurbağa ve semender gibi organizmalar hangi solunumu gerçekleştirmektedir|||||deri solunumu  
Karada yaşayan eklem bacaklılar, böcekler ve çok ayaklılar gibi organizmalar hangi solunumu gerçekleştirmektedir|||||trake solunumu  
Kitinden oluşan, stigma denilen açıklıktan giren havayı taşıyan ve iç organlara kadar uzanan dallanmış hava borularına ne ad verilir|||||trake
Hangi solunumu yapan organizmaların kanında solunum gazları taşınmaz|||||trake solunumu
Ergin kurbağalarda, sürüngenlerde, kuş ve memelilerde görülen solunum türü nedir|||||akciğer solunumu  
Kuşların akciğerlerine bağlı, oksijen gereksinimini sağlayan yapıya ne ad verilir|||||hava keseleri  
Memelilerin akciğerlerinin içinde bulunan, kılcal damarlardaki karbon dioksidi alıp, oksijeni vererek gaz alış verişini gerçekleştiren yapıya ne denir|||||alveol
Akciğerlerdeki hava basıncının atmosfer basıncına göre düşmesi sonucu dışardaki havanın akciğerlere hücum etmesine olayına ne ad verilir|||||soluk alma  
Akciğerlerdeki hava basıncının atmosfer basıncına göre fazla olması sonucunda akciğerlerde sıkışan havanın dışarı verilmesi olayına ne ad verilir|||||soluk verme  
Omurgalıların alyuvarında bulunan, kanda solunum organından dokulara oksijen, dokulardan solunum organına karbon dioksit taşıyan, kırmızı renkli solunum pigmenti nedir|||||hemoglobin
Yumuşakçaların plazmasında bulunan mavi renkli solunum pigmenti nedir|||||hemosiyanin
Halkalı solucanların plazmasında bulunan yeşil renkli solunum pigmenti nedir|||||klorokrüorin
Halkalı solucanların kan hücrelerinde bulunan kırmızı renkli solunum pigmenti nedir|||||hemoeritrin
Canlılardaki gaz alış verişinin denetimi, hangi yapılar tarafından gerçekleştirilir|||||omurilik soğanı ve beyindeki solunum merkezi  
Hemoglobinin oksijenle birleşerek oluşturduğu yapıya ne ad verilir|||||oksihemoglobin
Canlıların aldığı besin ve oksijenin dokulara, dokularda oluşan karbon dioksit ve diğer metabolizma artıklarının da boşaltım organlarına taşınması olayına ne ad verilir|||||dolaşım sistemi  
Omurgasızlardan yumuşakçalarda, eklem bacaklılarda ve derisi dikenlilerde görülen, bir veya birkaç odacıklı kalp ve kısa damarlardan meydana gelen dolaşım türüne ne ad verilir|||||açık dolaşım 
Hangi tür dolaşım sisteminde kılcal damar bulunmaz|||||açık dolaşım  
Açık dolaşım yapan omurgasızların vücut sıvılarına ne ad verilir|||||hemolenf 
Bazı omurgasızlarda ve omurgalıların tamamında görülen, kanın damar sistemi içinde dolaştığı dolaşım türü nedir|||||kapalı dolaşım  
Atardamar ve toplardamarlar arasında bulunan, dokular ile kan arasındaki madde alış verişini sağlayan damarlara ne ad verilir|||||kılcal damarlar  
Hücrelere yeterli oksijen taşınamadığı için vücut sıcaklıklarını sabit tutacak ısıyı üretemeyen canlılara ne ad verilir|||||soğukkanlı canlılar  
Vücudunda karışık kan dolaşan canlılar hangileridir|||||soğukkanlı canlılar  
Sağ ve sol olmak üzere iki karıncık ve iki kulakçıktan oluşan kalp, hangi türe aittir|||||kuş ve memeliler  
Temiz kan ile kirli kanın karışmadığı, vücutlarını belli bir sıcaklıkta tutabilen canlılara ne ad verilir|||||sıcakkanlı canlılar  
Göğüs boşluğunda, iki akciğerin arasında yer alan yumruk büyüklüğünde ve koni şeklinde olan organ nedir|||||kalp
Kalpten pompalanan kanın geri dönmesini engelleyen ve kanın tek yönde akmasını sağlayan yapıya ne ad verilir|||||kapakçık
Kalbin dışını tamamen saran bağ dokudan yapılmış iki katlı zar olan en dışta bulunan tabakasına ne denir|||||perikart
Kalp kasından oluşmuş, ortada bulunan kalp tabakasına ne denir|||||miyokart
Tek sıralı epitel dokudan oluşan, kalbin iç yüzeyini örten ve aşınmayı önleyen kaygan bir yapı oluşturan kalp tabakasına ne denir|||||endokart
Kalbi besleyen damarlara ne ad verilir|||||koroner damarlar  
Koroner damarların tıkanması ya da daralması sebebiyle kalbin ihtiyacı olan besin ve oksijeni alamaması sonucu ne meydana gelmektedir|||||kalp krizi(enfarktüs)  
Kalbin kasılması durumuna ne ad verilir|||||sistol
Kalbin gevşemesi durumuna ne ad verilir|||||diastol 
Kalbin ritmik kasılma ve gevşemesinin atardamarlarda hissedilmesine ne denir|||||nabız 
Kalbin kasılıp gevşemesi sırasında kanın atardamar duvarına yaptığı basınca ne ad verilir|||||tansiyon
Karıncıkların kasılması sırasında kanın atardamar duvarına yaptığı basınca ne ad verilir|||||büyük tansiyon  
Karıncıkların gevşemesi anında kanın atar damar duvarına yaptığı basınca ne ad verilir|||||küçük tansiyon  
Kanı kalpten kılcal damarlara ileten damarlara ne denir|||||atardamar
Akciğer atardamarı hariç bütün atardamarlar kalbe hangi tür kan taşır|||||temiz kan  
Kan basıncının düşük olduğu,  kanı kalbe getiren damarlara ne ad verilir|||||toplardamar
Akciğer toplardamarı hariç bütün toplardamarlar hangi tür kan taşır|||||kirli kan  
Kalpteki oksijence fakir kanın akciğer atardamarı ile sağ karıncıktan çıkıp akciğerlere giderek oksijence zenginleştikten sonra akciğer toplardamarıyla sol kulakçığa dönmesine ne ad verilir|||||küçük kan dolaşımı  
Oksijence zengin kanın aortla sol karıncıktan çıkıp tüm vücudu dolaştıktan sonra alt ve üst ana toplardamarlarla kalbin sağ kulakçığına dönmesine ne ad verilir|||||büyük kan dolaşımı  
Kan dokunun sıvı olan, akıcı özelliğe sahip ara maddesine ne denir|||||plazma  
Aktif hareket edemeyen kan akışıyla bir yerden başka bir yere taşınan hücrelere ne ad verilir|||||alyuvar(eritrosit)  
Renksiz kan hücrelerine ne ad verilir|||||akyuvar(lökosit)  
Bakterileri fagositozla yok eden granüllü akyuvarlara ne ad verilir|||||nötrofil
Tenya, kancalı kurt gibi parazit enfeksiyonlarında ve alerjik reaksiyonlarda etkili olan granüllü akyuvarlara ne ad verilir|||||eozinofiller
Heparin ve histamin salgılayan granüllü akyuvarlara ne ad verilir|||||bazofil
Kanın damar içinde pıhtılaşmasını engelleyen bazofil tarafından salgılanan hormon nedir|||||heparin 
Kılcal damar geçirgenliğini sağlayan bazofil tarafından salgılanan hormon nedir|||||histamin
Granülsüz akyuvarların en büyüğüne ne ad verilir|||||monosit
Sinir doku dışında bütün dokularda bulunan, bağışıklığın sağlanmasında görevli olan granülsüz akyuvarlara ne ad verilir|||||lenfosit 
Kan pıhtılarının oluşumunda görev alan hücre parçalarına ne ad verilir|||||trombosit 
Alyuvar zarında bulunan ve kan grubumuzun belirlenmesinde rol oynayan oligosakkaritlere ne ad verilir|||||antijen
Lenfositlerin vücuda yabancı olan maddelere karşı oluşturduğu kan plazmasındaki savunma proteinlere ne ad verilir|||||antikor
A kan grubuna sahip bir kişinin alyuvarında hangi antijen vardır|||||A antijeni  
A kan grubuna sahip bir kişinin plazmasında hangi antikor vardır|||||Anti- B 
B kan grubuna sahip bir kişinin alyuvarında hangi antijen vardır|||||B antijeni  
B kan grubuna sahip bir kişinin plazmasında hangi antikor vardır|||||Anti- A 
AB kan grubuna sahip bir kişinin plazmasında hangi antikor vardır|||||Anti- A ve Anti- B 
AB kan grubuna sahip bir kişinin alyuvarında hangi antijen vardır|||||yoktur
Yaralanmalarda ya da herhangi bir nedenle başlayan bir kanamada damardan kanın akmasını önlemek amacıyla kanda meydana gelen reaksiyonların tümüne ne ad verilir|||||pıhtılaşma
Alyuvar içermediği için renksiz olan, lenf damarlarına giren doku sıvısına ne ad verilir|||||lenf(akkan)  
Lenf damarlarının birleştiği yerde özel hücre kümelerinden meydana gelen yapıya ne nedir|||||lenf düğümleri  
Virüs, bakteri, mantar gibi hastalık etkenlerinin insan vücuduna girerek çoğalmalarına ne ad verilir|||||enfeksiyon
Hastalık yapan bu mikroorganizmaları vücudun yabancı olarak tanımasına ve bunlara karşı kendini korumak ve savunmak için gösterdiği tepkiye ne ad verilir|||||bağışıklık 
Virüsle enfekte olmuş hücreler ne salgılar|||||interferon(antimikrobiyal protein)  
Olgunlaşmalarını fetüs döneminde karaciğerde, doğum sonrasında ise kemik iliğinde tamamlayan lenfositlere ne ad verilir|||||B-lenfositleri  
B lenfositleri ve antikorlarla oluşturulan bağışıklığa ne ad verilir|||||humoral(sıvısal) bağışıklık  
Tifo, difteri gibi bakterilerin sebep olduğu hastalıklara  karşı en etkili bağışıklık yöntemi nedir|||||humoral bağışıklık  
B-lenfositlerinin humoral bağışıklık oluşumunda ürettikleri antikorlara ne ad verilir|||||immünoglobulin(Ig)  
Antijen ile karşılaşmada ilk ve en erken sentezlenen humoral bağışıklık oluşumunda üretilen antikora nedir|||||IgM antikoru  
Kan ve lenf sıvısındaki bakteri, virüs ve toksinlere karşı koruma sağlayan humoral bağışıklık oluşumunda üretilen antikora nedir|||||IgG antikoru  
Alerjik reaksiyonların başlamasından sorumlu olan, humoral bağışıklık oluşumunda üretilen antikora nedir|||||IgE antikoru  
Vücudumuzun herhangi bir hastalık etkenine karşı doğuştan dirençli olmasına ne ad verilir|||||doğal bağışıklık  
Hastalık etkeni mikroorganizmaların ya da mikroorganizmalara ait maddelerin vücuda girmesi durumunda vücudun bu antijenlere karşı B ve T lenfositleri ile savunma yapmasına ne ad verilir|||||aktif bağışıklık  
Hastalanmış kişilere başka bir canlının vücudunda geliştirilen antikorların hazır olarak verilmesine ve bu yolla bağışıklık kazanmasına ne ad verilir|||||pasif bağışıklık  
Hastalık anında vücuda verilerek antikor takviyesi yapan ve vücudun direncini arttıran, at ve sığır gibi hayvanların kanından elde edilen sıvıya ne denir|||||serum
Vücudu koruyan bağışıklık sisteminin, alerjenlere karşı aşırı tepki vermesine ne ad verilir|||||alerji 
Alerjik reaksiyonlara yol açan antijenlere ne denir|||||alerjen
AIDS hastalığına neden olan virüs nedir|||||HIV
Domuz gribi hastalığına neden olan virüs nedir|||||H1N1
Kırım Kongo kanamalı ateşine sebep olan virüs nedir|||||Nairovirüs
Latincede zehir anlamına gelen, kendi başlarına çoğalamayan mikroskobik tanecik nedir|||||virüs
Bakterileri enfekte eden virüslere ne ad verilir|||||bakteriyofaj ya da kısaca faj 
Hastalıklara karşı bağışıklık sağlama amacı ile insan veya hayvan vücuduna verilen zayıflatılmış hastalık virüsüne ne ad verilir|||||aşı 
Canlıların vücutlarındaki fazla suyu, suda çözünmüş halde bulunan zararlı maddeleri ve gereğinden fazla olan metabolik ürünleri, hücrelerden ve doku sıvısından uzaklaştırmasına olayına ne denir|||||boşaltım
Boşaltımı gerçekleştiren organ ve yapıların tümüne ne ad verilir|||||üriner sistem  
Halkalı solucanlardaki boşaltım organına ne ad verilir|||||nefridyum
Yassı solucanlardaki boşaltım organına ne ad verilir|||||protonefridyum
Kurbağa, memeli gibi organizmalarda azotlu boşaltım ürünü nedir|||||üre
Balıklarda azotlu boşaltım ürünü nedir|||||amonyak
Böcek, sürüngen, kuş gibi organizmalarda azotlu boşaltım ürünü nedir|||||ürik asit  
Omurgalılarda bulunan, idrar oluşumunda görev alan fasulye biçimindeki boşaltım organına ne ad verilir|||||böbrek 
İdrarın idrar kesesine taşınmasından sorumlu olan yapıya ne ad verilir|||||üreter
İdrar kesesinin dolması durumunda idrarın dışarı atılması hangi üreter sistemiyle gerçekleşir|||||üretra
Koyu kırmızı renkte olan böbreğin en dış kısmında yer alan yapıya ne ad verilir|||||korteks
Böbreğin yapı ve görev birimi olan, süzme birimi olarak da adlandırılan yapıya ne ad verilir|||||nefron
Bowman kapsülünün içini dolduran kılcal damarlardan oluşmuş atardamar yumağına ne ad verilir|||||glomerulus
Glomerulusun etrafını tamamen saran, nefron kanalcığınıın genişlemiş başlangıç kısmına ne ad verilir|||||Bowman kapsülü  
Bowman kapsülü ve glomerulusun oluşturduğu yapıya ne ad verilir|||||malpighi cisimciği 
Süzülen sıvı içindeki yararlı maddeler, nefron kanalcıklarına ilerlerken bu kanalcıkları saran kılcallara geçerek yeniden kan dolaşımına katılması olayına ne denir|||||geri emilim  
Böbreklerde suyun geri emilimini sağlayan hormon nedir|||||ADH antidiüretik hormon  
Böbreklerde sodyumun emilimini sağlayan ve eş zamanlı olarak potasyum atılımını uyaran hormon nedir|||||aldosteron
İlaçlar, bazı asit ve bazlar, zehirli maddeler, amonyak, boya gibi bazı atık maddelerin aktif taşıma ile nefron kanalcıklarını saran kılcal damarlardan nefron kanalcıklarına verilen olaya ne ad verilir|||||salgılama
Kronik böbrek yetmezliği hastalarında hangi hormonun üretiminin azalması sonucu anemi görülür|||||eritropoietin
Üriner sistemi meydana getiren yapıların en önemlisi hangisidir|||||böbrek
Yassı solucanlar, yuvarlak solucanlar ve halkalı solucanlar gibi bazı omurgasız hayvan türlerinde görülen destek ve hareket sistemi nedir|||||hidrostatik iskelet  
Vücut sıvısı ve bu sıvıyı hareket ettirerek basınç oluşturan kaslardan meydana gelen destek ve hareket sistemine ne ad verilir|||||hidrostatik iskelet  
Omurgasızlardan eklembacaklılarda ve yumuşakçalarda görülen destek ve hareket sistemine ne ad verilir|||||dış iskelet 
Süngerlerde, derisi dikenlilerde ve omurgalı canlılarda görülen destek ve hareket sistemine ne ad verilir|||||iç iskelet 
Kemik dokuyu oluşturan hücrelere ne ad verilir|||||osteosit
Kemik dokuda bulunan, organik ve inorganik maddelerden oluşan ara maddeye ne denir|||||osein
Yıldız şeklinde olan kemik hücrelerinin yer aldığı kemik dokusundaki boşluklara ne ad verilir|||||lakün
Kemiklerin dışında bulunan, kemik zarına ne ad verilir|||||periost
Uzun kemiklerin gövdesinde ve baş kısmındaki süngerimsi kemik doku üzerinde, kısa ve yassı kemiklerin dış yüzeyinde bulunan kemik dokusu çeşidi nedir|||||sıkı(sert) kemik doku  
Sert kemik dokuda bulunan Havers kanallarını birbirine bağlayan yan kanallara ne ad verilir|||||Volkmann kanalları  
Sert kemik dokularının altında yer alan, ince, düzensiz kemik lamellerinden oluşmuş gözenekli yapıya sahip kemik dokusu çeşidi nedir|||||süngerimsi kemik doku  
Kol ve bacaklarda bulunan iki ucu şişkin silindir şeklindeki kemiklere ne ad verilir|||||uzun kemikler  
Levha şeklinde olan kemiklere ne ad verilir|||||yassı kemikler  
Kafatası, kürek, kaburga kemikleri hangi kemik türüne örnektir|||||yassı kemikler  
Ön kol, dirsek, pazu, uyluk, kaval kemikleri hangi kemik türüne örnektir|||||uzun kemikler  
Boy ve genişliği birbirine yaklaşık olarak eşit olan kemiklere ne ad verilir|||||kısa kemikler 
El ve ayak bileklerindeki kemikler hangi kemik türüne örnektir|||||kısa kemikler  
Vücudun değişik bölgelerinde bulunan, belirli bir şekli olmayan kemiklere ne ad verilir|||||düzensiz şekilli kemikler  
Omurlar ve bazı yüz kemikleri hangi kemik türüne örnektir|||||düzensiz şekilli kemikler  
Bazı bireylerde yaşlanmaya bağlı kemik hücresi kaybı, genetik özellikler,  D vitamini, kalsiyum gibi minerallerin eksikliği nedeniyle kemik ara maddesinin azalması sonucu oluşan kemik doku hastalığına ne ad verilir|||||osteoporoz
Çocuklarda görülen, D vitamini eksikliğinde kemiklerde yumuşama ve eğilme meydana gelmesi ile sonuçlanan kemik hastalığına ne ad verilir|||||raşitizm
Yetişkinlerde görülen, D vitamini eksikliğinde kemiklerde yumuşama ve eğilme meydana gelmesi ile sonuçlanan kemik hastalığına ne ad verilir|||||osteomalizi
Kemiklerin büyümesi hangi vitamin eksikliğinde yavaşlar|||||A vitamini  
Kemiklerde zayıflama ve kırılma hangi vitamin eksikliğinde görülür|||||C vitamini  
Kıkırdak doku hücrelerine ne ad verilir|||||kondrosit
Kıkırdak dokunun ara maddesine ne ad verilir|||||kondrin
Yapısında kollagen lifler bulunan, hücreler arası maddesi homojen, saydam ve camsı bir görünüme sahip kıkırdak çeşidi nedir|||||hiyalin kıkırdak  
Embriyo döneminde iskelet hangi kıkırdak yapıdadır|||||hiyalin kıkırdak  
Ergin bireylerin bronşlarında, soluk borusunda, burunda, kemiklerin eklem başlarında ve kaburga uçlarında yer alan kıkırdak, hangi kıkırdak türüne örnektir|||||hiyalin kıkırdak  
Kulak kepçesi, kulak yolu, östaki borusu ve epiglotis yapısındaki kıkırdak, hangi kıkırdak türüne örnektir|||||elastik kıkırdak  
Omurlar arasındaki disklerde ve köprücük kemiği gibi kemiklerin eklem yaptığı yerlerde hangi tür kıkırdak yapı vardır|||||fibröz kıkırdak  
İskeleti meydana getiren kemiklerin birbiriyle bağlantı kurduğu yere ne ad verilir|||||eklem
Eklemlerde yer alan, iki kemiği bağlayan eklem bağlarına ne ad verilir|||||ligament
Eklem bölgesinde bulunan, bağ dokudan yapılmış kapsüle ne ad verilir|||||eklem kapsülü  
Kıkırdak doku ile birlikte kayganlık sağlayarak hareket sırasında kemiklerin birbirine bağlandığı eklem yüzeyinde aşınmayı önleyen yapıya ne ad verilir|||||eklem sıvısı(sinovial sıvı)  
Kemiklerin eklem yapan yüzeylerinin kıkırdakla örtülü olduğu yere ne ad verilir|||||eklem kıkırdağı  
Hareketi sınırlı olan ekleme ne ad verilir|||||az oynar eklem  
Boyun, göğüs ve bel omurlarının arasındaki eklemler, hangi eklem türüne örnektir|||||az oynar eklem  
Kemiklerin hareket etmeyecek biçimde birbirlerine bağlı olduğu ekleme ne ad verilir|||||oynamaz eklem  
Kafatası ve yüzdeki eklemler, hangi eklem türüne örnektir|||||oynamaz eklem  
Eklem kapsülü ve eklem sıvısının bulunmadığı, hareketi sınırlı olan eklem türü hangisidir|||||az oynar eklem  
Eklem kapsülü ve eklem sıvısının bulunmadığı, kafatası ve yüzdeki eklem türü hangisidir|||||oynamaz eklem  
Kas hücresi sitoplazmasına ne ad verilir|||||sarkoplazma
Kas hücre zarına ne ad verilir|||||sarkolemma
Sarkoplazmada kasılmayı sağlayan telciklere ne ad verilir|||||miyofibril 
Yüksek enerji gereksinimleri sebebiyle kas hücrelerinde çok sayıda bulunan organel nedir|||||mitokondri
Beynin kontrolünde ve isteğimize bağlı olarak çalışan, hücreleri uzun silindirik şekilli ve çok çekirdekli olan kas türüne ne ad verilir|||||çizgili kas  
Düz kaslara oranla daha hızlı kasılıp, fakat çabuk yorulan kas türü hangisidir|||||çizgili kas  
Çizgili kas hücreleri, sitoplazmalarında demir içeren hangi pigmenti taşıdığından dolayı kırmızı renkte görünür|||||miyoglobin 
İsteğimiz dışında çalışan, mekik şekilli ve tek çekirdekli olan kas türüne ne ad verilir|||||düz kas  
Çizgili kaslara göre yavaş, düzenli ve uzun süreli çalışan kas türü hangisidir|||||düz kas  
Dolaşım, sindirim, solunum, üreme ve boşaltım sistemlerini meydana getiren organların yapısında buluna kaslar, hangi kas türüne örnektir|||||düz kas  
Düzgün silindirik yapıda olmayıp dallanmalar gösteren, bir veya iki çekirdekli olan kas türüne ne ad verilir|||||kalp kası  
Yapı olarak çizgili kasa benzeyen, çalışma prensibi olarak düz kasa benzeyen kas türü hangisidir|||||kalp kası  
Uyarılan bir kasın bir kez kasılıp gevşeyerek eski halini almasına ne ad verilir|||||kas sarsı (kasıl sarsılma)  
Kasların kasılmasını sağlayan en küçük uyartı şiddetine ne ad verilir|||||eşik şiddeti  
Kasların, eşik şiddetinin üzerindeki uyartılara hep aynı şiddette tepki göstermesine prensibine ne ad verilir|||||Ya hep ya hiç 
Kasın uyarıldığı an ile kasılmaya başladığı an arasında geçen süre, hangi evredir|||||gizli evre 
Kasılmanın başladığı an ile gevşemenin başladığı an arasında geçen süre, hangi evredir|||||kasılma evresi  
Kasın gevşeyerek eski haline dönmesine kadar geçen süre, hangi evredir|||||gevşeme evresi  
Bir kasın, kısa aralıklarla sık sık uyarılması durumunda tam olarak gevşemeden sürekli kasılı durumda kalması olayına ne ad verilir|||||fizyolojik tetanos  
Kaslara uyartı taşıyan sinirlerin çeşitli nedenlerle zedelenmesine bağlı olarak ortaya çıkan hastalık nedir|||||felç 
İskelet kasları dinlenme halindeyken kişinin bilinci açık olduğu sürece hafif kasılı durumda kalmasına ne ad verilir|||||kas tonusu  
Aktin ve miyozin denilen kas proteinlerinden oluşan yapıya ne ad verilir|||||miyofibril
İnce yapıda olduğundan ışığı az kıran ve dolayısıyla o bölgenin açık renkli görünmesini sağlayan, kas yapısında bulunan iplikçik hangisidir|||||aktin
Çizgili kasların yapısı hangi iplikler modeli ile açıklanır|||||Huxley’in kayan iplikler modeli  
İki Z çizgisi arasındaki bölgede bulunan, kasılma birime ne ad verilir|||||sarkomer
Kas yapısında sadece aktin iplikçiklerinin bulunduğu, açık renkli görünen banda ne ad verilir|||||I bandı 
Aktin ve miyozin iplikçiklerin bulunduğu, koyu renkli görünen banda ne ad verilir|||||A bandı  
A bandının ortasında sadece miyozin iplikçiklerinin bulunduğu açık renkli görünen şerit şeklindeki kısma ne ad verilir|||||H bandı 
I bandının ortasında bulunan çizgiye ne ad verilir|||||Z çizgisi  
Hangi durumda kasın hacim ve kütlesinde değişme olmaz|||||kasılma
Kasılma sırasında A bandının boyunda nasıl bir değişiklik olur|||||değişmez
Kasılma sırasında I bandının boyunda nasıl bir değişiklik olur|||||daralır
Kasların kasılmasını kontrol eden organ hangisidir|||||beyin 
Kasta bulunan ATP’nin bitmesi durumunda gerekli enerji nereden sağlanır|||||kreatin fosfat  
Kasta bulunan ATP ve kreatin fosfatın bitmesi durumunda gerekli enerji nereden sağlanır|||||glikojen
Glikojen nerede depo edilir|||||kaslarda
İskelet kaslarının kemiklere bağlanmasını sağlayan, lifli bağ dokudan oluşan yapıya ne ad verilir|||||kas kirişleri (tendon) 
Kasın kemiğe bağlandığı yere ne ad verilir|||||başlangıç noktası  
Kasın ekleme bağlandığı yere ne ad verilir|||||sonlanış noktası  
Birbirine zıt çalışan kaslara ne ad verilir|||||antagonist
Kol ve bacaklardaki kaslar, hangi kas türüne örnektir|||||antagonist
Kol dirsekten büküldüğü zaman kasılan kas hangisidir|||||bükücü kas  
Kol dirsekten büküldüğü zaman gevşeyen kas hangisidir|||||açıcı kas  
Aynı anda kasılıp aynı anda gevşeyen kaslara ne ad verilir|||||sinerjist kas 
Karın ve sırt kasları, hangi kas türüne örnektir|||||sinerjist kas  
Eklemlerde kemiğin aşınmasını önleyen yapı hangisidir|||||eklem kıkırdağı
Kemiğin onarımını sağlayan kemik zarına ne ad verilir|||||periost
Kan üretimi gerçekleştiren yapıya ne ad verilir|||||kırmızı kemik iliği  
